event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,has_fatalities,event_week,event_month
IRQ63076,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Duhok,Al Amadiya,Metina,37.1683,43.2709,People's Defense Forces,"On 6 March 2025, Turkish army forces carried out airstrikes and shelling against PKK militants in the Sere Metina area in the Al Amadiya district of Duhok. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
IRQ62978,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Erbil,Rawanduz,Wadi Khakurik,36.9599,44.6039,People's Defense Forces,"On 6 March 2025, Turkish army forces carried out airstrikes and shelling against PKK militants in the Sehid Serif area (Kurdish names) in the Xakurke (Wadi Khakurik) region (Rawanduz, Erbil). Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
CAO16690,2025-03-06,2025,Political violence,Riots,Mob violence,Rioters (Cameroon),Civilians (Cameroon),Cameroon,Nord-Ouest,Mezam,Bamenda,5.9624,10.1514,Mimi Mefo,"On 6 March 2025, commercial motorbike riders caught, and vandalized a commercial taxi at the Hospital Roundabout in Bamenda (Bamenda 3, Mezam, Nord-Ouest) before its occupants were handed over to the police forces for stealing a woman's purse. The victim's stolen belongings were returned to her.",0,False,2025-03-03/2025-03-09,2025-03
IRQ63078,2025-03-06,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Duhok,Al Amadiya,Chiya-e Gara,37.0394,43.5175,People's Defense Forces,"On 6 March 2025, Turkish army forces carried out shelling against PKK positions in the Deriye Hirce and Gire Siser areas (Kurdish names) in the Gara mountain region (Chiya-e Gara) of Al Amadiya district, Duhok. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
CEN50317,2025-03-06,2025,Political violence,Violence against civilians,Attack,Military Forces of the Central African Republic (2016-),Civilians (Central African Republic),Central African Republic,Lobaye,Boganangone,Boganangone,4.6868,17.1983,Corbeau News,"On 6 March 2025, FACA soldiers beat and critically injured a civilian in Boganangone (Boganangone, Boganangone, Lobaye) for entering his grandfather's land, which they had illegally occupied. There were no fatalities. His family had allowed the soldiers to stay in their home but later seized their home and barred them from access.",0,False,2025-03-03/2025-03-09,2025-03
HND10597,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Honduras),Unknown,Honduras,Colon,Tocoa,Tocoa,15.6833,-86.0,El Heraldo (Honduras); HCH,"On 6 March 2025, in Tocoa, Colon, supporters of the M28 movement within the Liberty and Refoundation (LIBRE) Party protested in front of the Instituto Oficial Ramon Rosa, demanding the delivery of credentials for departmental and municipal committees. Protesters blocked access to the electoral material storage center, delaying the distribution of ballot boxes. They alleged an internal party boycott.",0,False,2025-03-03/2025-03-09,2025-03
USA78079,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Alabama,Montgomery,Montgomery,32.3763,-86.3095,Yellowhammer News,"On 6 March 2025, Republican elected officials, representatives for Fight for Alabama Families, and doctors rallied at the State House in Montgomery (Alabama) to demand legislative protection for in vitro fertilization.",0,False,2025-03-03/2025-03-09,2025-03
CAN7907,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Canada),Unknown,Canada,Alberta,Division No.6,Calgary,51.0448,-114.0693,CTV News; Medicine Hat News,"On 6 March 2025, school students held a rally outside the Lord Beaverbrook High School in Calgary (Alberta) to support the ongoing CUPE Local 40 strike. The CUPE local 40 workers are demanding better wages and improved classroom conditions.",0,False,2025-03-03/2025-03-09,2025-03
IND179665,2025-03-06,2025,Demonstrations,Protests,Protest with intervention,Protesters (India),Police Forces of India (2014-),India,Punjab,Ludhiana,Gaunsgarh,30.9723,75.934,Hindustan Times,"On 6 March 2025, local people staged a protest along the road in Gaunsgarh village (Ludhiana, Punjab) over suspicions of illegal mining at the Rorh Cluster site. The police detained two protesters and later release them.",0,False,2025-03-03/2025-03-09,2025-03
IRQ63075,2025-03-06,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Duhok,Al Amadiya,Dargal,37.1693,43.3154,People's Defense Forces,"On 6 March 2025, Turkish army forces carried out shelling against PKK militants in the Dergele (Dargal) area (Al Amadiya, Duhok). Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
HND10599,2025-03-06,2025,Political violence,Violence against civilians,Attack,Unidentified Gang (Honduras),Civilians (Honduras),Honduras,Francisco Morazan,Distrito Central,Tegucigalpa,14.0818,-87.2068,La Tribuna (Honduras),"Around 6 March 2025 (between 5 - 7 March), outside Tegucigalpa, Francisco Morazan, an teenager boy was killed and his body was found by authorities in a ravine near the Japon and Sagastume neighborhoods on 7 March. The victim had survived a shooting the previous week in the Buenos Aires neighborhood on 3 March (coded separately) and was reportedly abducted on 5 March. He had witnessed gang members killing three people at an alcohol establishment days before his disappearance and was likely killed in connection to that incident. Authorities have launched an investigation. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
IRN30489,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Khuzestan,Shush,Haft Tappeh,32.0837,48.41,Eteraze Bazar; Human Rights Activists in Iran (HRA),"On 6 March 2025, seasonal agricultural workers rallied at the Haft Tappeh Sugarcane Agro-Industry Company in Haft Tappeh city (Shush, Khuzestan) to protest against the failure to amend their contracts.",0,False,2025-03-03/2025-03-09,2025-03
IRQ62979,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Duhok,Al Amadiya,Chiya-e Gara,37.0394,43.5175,People's Defense Forces,"On 6 March 2025, Turkish army forces conducted airstrikes in the Sehid Aslan area and airstrikes and shelling in the Heftebax area (Kurdish names) against PKK militants in the Gara mountain region (Chiya-e Gara) of Al Amadiya district, Duhok. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
IRQ62976,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),PKK: Kurdistan Workers Party,Iraq,Duhok,Al Amadiya,Bishilah,37.1618,43.2863,People's Defense Forces,"On 6 March 2025, Turkish army warplanes carried out airstrikes against PKK militants in the Besili (Bishilah) area in the Al Amadiya district of Duhok. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
HND10602,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Honduras),Unknown,Honduras,Francisco Morazan,Distrito Central,Tegucigalpa,14.0818,-87.2068,HCH,"On 6 March 2025, in Tegucigalpa, Francisco Morazan, potato producers from Intibuca protested outside the Secretariat of Agriculture and Livestock (SAG), demanding better conditions for their sector. Protesters opposed the importation of Dutch potato seeds, arguing that local farmers have the capacity to supply the national market. They also criticized delays in granting them import permits while others receive authorization.",0,False,2025-03-03/2025-03-09,2025-03
HND10601,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Honduras),Unknown,Honduras,Francisco Morazan,Distrito Central,Tegucigalpa,14.0818,-87.2068,HCH,"On 6 March 2025, in Tegucigalpa, Francisco Morazan, peasant groups protested outside the Supreme Court of Justice (CSJ), demanding a ruling on an appeal filed in 2021 against the dismissal of charges in the Pandora case. Protesters accused the judiciary of delaying justice for peasant victims, stating that 282 million lempiras were stolen, affecting farmers in 13 departments and at least 4,500 families. They warned that continued inaction signals tolerance for corruption.",0,False,2025-03-03/2025-03-09,2025-03
USA78041,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Washington,Spokane,Spokane,47.6596,-117.429,920 News Now,"On 6 March 2025, a group of community members, including business owners, service providers, formerly homeless individuals, and advocates, marched from City Hall through downtown Spokane (Washington) in a homeless awareness demonstration, calling for a future without homelessness and urging city leaders to adopt a new approach, as they believe the current strategy is failing.",0,False,2025-03-03/2025-03-09,2025-03
BRA95410,2025-03-06,2025,Strategic developments,Strategic developments,Looting/property destruction,CV: Red Command,Civilians (Brazil),Brazil,Ceara,Caucaia,Caucaia,-3.7361,-38.6531,Bnews (Brazil); Diario do Nordeste; G1,"Property destruction: On 6 March 2025, in Caucaia (Ceara), CV members set fire to a car, which belonged to Brisanet, an internet company. The suspects escaped. The event is part of a series of property destruction events by the CV against internet companies. The gang demands internet companies to pay them a monthly fee to operate in the regions dominated by them. A group of suspects was arrested in 12 February.",0,False,2025-03-03/2025-03-09,2025-03
BRA95402,2025-03-06,2025,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Brazil,Rio de Janeiro,Tres Rios,Tres Rios,-22.1167,-43.2092,A Voz da Cidade; G1,"On 6 March 2025, in Tres Rios (Rio de Janeiro), unidentified armed men shot and killed a man in a drive-by shooting on Travessa Brasil Rodrigues, in the Ponto Azul neighborhood. According to the Military Police, the two criminals were on a motorcycle and started shooting at the man. The suspects then fled on a motorcycle. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
COL31179,2025-03-06,2025,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),Colombia,Sucre,San Onofre,San Onofre,9.741,-75.5202,El Universal (Colombia); INDEPAZ,"Around 6 March 2025 (as reported), near San Onofre town (Sucre), an Afro-Colombian social and cultural leader, dancer, musician, and member of the Mariamulata group, was shot and killed, and his body found on the side of the San Onofre - Cartagena road. Armed men had dragged him out of his house in Rincon del Mar (Sucre) hours earlier. There is presence of the Gulf Clan and local gangs in the area. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
USA78045,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Louisiana,Orleans,New Orleans,29.9546,-90.075,WGNO,"On 6 March 2025, dozens of teachers (represented by the United Teachers of New Orleans, AFT), students, pastors, and community members demonstrated at the City Hall in New Orleans (Louisiana) to demand a multi-million dollar payment they claim the city owes them.",0,False,2025-03-03/2025-03-09,2025-03
USA78323,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Virginia,Floyd,Floyd,36.9112,-80.3201,SWVA Today,"On 6 March 2025, approximately 70 people, including farmers, gathered outside of the Floyd County Government Building in Floyd (Virginia) to call for Representative Morgan Griffith to oppose DOGE and represent his constituents. Protesters demonstrated against Elon Musk and cuts to Medicaid, social security, and government agencies.",0,False,2025-03-03/2025-03-09,2025-03
USA78321,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,North Carolina,Guilford,Greensboro,36.0726,-79.7919,Fox8 (High Point); WXII12,"On 6 March 2025, a group of protesters gathered at Senator Thom Tillis's office in Greensboro (North Carolina) to support Ukraine and USAID and protest against Elon Musk, DOGE, and cuts to government agencies and services.",0,False,2025-03-03/2025-03-09,2025-03
USA78320,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Pennsylvania,Lancaster,Lancaster,40.0379,-76.3055,CBS 21 (Harrisburg); Lancaster Online,"On 6 March 2025, 12 to 15 people, including members of Animal Rescue Inc., gathered outside of the Lancaster County Courthouse in Lancaster (Pennsylvania) to oppose 'puppy mills' and call for maximum penalties for a man who is accused of killing four puppies.",0,False,2025-03-03/2025-03-09,2025-03
IND179424,2025-03-06,2025,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of India (2014-) Bomb Disposal Squad,Unidentified Armed Group (India),India,Manipur,Imphal West,Imphal,24.7992,93.9365,Northeast Now,"Defusal: On 6 March 2025, bomb disposal squad safely disposed 27 world war II era bombs along with a box of dynamite belonging to unidentified armed assailants at Game Village dumping site in Imphal city (Imphal West, Manipur) amidst ongoing violence between Meitei and Tribal communities in the state. The explosives were found on 11 September 2022 by the Japan Association for Recovery and Repatriation of War Casualties (JARRWC) in cooperation with the Manipur University Anthropology Department during a research project.",0,False,2025-03-03/2025-03-09,2025-03
IND179432,2025-03-06,2025,Political violence,Riots,Mob violence,Rioters (India),Civilians (India),India,Assam,Cachar,Lathimara,24.8879,92.5545,Pratidin Time,"On 6 March 2025, a mob of locals physically assaulted a man and handed him over to the police at Lathimara Ferry Ghat in Lathimara village (Cachar, Assam) after he and his accomplice were caught eve-teasing two college students and attacked two local men with sticks when they attempted to help the two students. The 2 locals along with the man were injured while the accomplice managed to flee from the spot.",0,False,2025-03-03/2025-03-09,2025-03
IND179435,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (India),Unknown,India,Arunachal Pradesh,Papum Pare,Borum,27.1202,93.6997,India Today,"On 6 March 2025, thousands of people under Arunachal Christian Forum (ACF) staged a peaceful protest at Borum ground in Borum town (Papum Pare, Arunachal Pradesh) against the implementation of the 'Arunachal Pradesh Freedom of Religion Act (APFRA), 1978', an anti-conversion law, claiming that it would restrict their freedom to practice their religion.",0,False,2025-03-03/2025-03-09,2025-03
COL31157,2025-03-06,2025,Political violence,Battles,Armed clash,ELN: National Liberation Army,Police Forces of Colombia (2022-),Colombia,Arauca,Tame,Betoyes,6.4914,-71.559,La Voz del Rio Arauca,"On 6 March 2025, in Betoyes (Tame, Arauca), members of the ELN attacked the local police station with gunfire. The ELN issued a statement claiming that during the attack, one of their snipers had killed a police officer. However, police authorities stated that no one was injured or killed during the incident. There were no fatalities.",0,False,2025-03-03/2025-03-09,2025-03
HND10600,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Honduras),Unknown,Honduras,Francisco Morazan,Distrito Central,Tegucigalpa,14.0818,-87.2068,Proceso Digital,"On 6 March 2025, in Tegucigalpa, Francisco Morazan, people with disabilities protested outside the Governmental Civic Center (CCG), demanding the release of withheld funds from the Program for Solidarity Action (PROASOL). Protesters called for the disbursement of the third payment from 2024 and the timely transfer of funds for 2025, stating that they have not received aid since the last quarter of the previous year. Authorities claim the funds have been disbursed, but protesters dispute this.",0,False,2025-03-03/2025-03-09,2025-03
USA78315,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Pennsylvania,Chester,Kennett Square,39.8468,-75.7116,Delaware County Daily Times,"On 6 March 2025, about 50 people gathered in Kennett Square (Pennsylvania) to protest against Elon Musk and Donald Trump's administration. Protesters also opposed ICE arrests.",0,False,2025-03-03/2025-03-09,2025-03
IND179449,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (India),Unknown,India,Meghalaya,East Jaintia Hills,Khliehriat,25.3566,92.3634,Northeast Today,"On 6 March 2025, Jaintia National Council (JNC) organized a 'Black Flag Rally' with banners and slogans in Khliehriat village (East Jaintia Hills, Meghalaya) opposing the proposed railway project in the Jaintia Hills region. Protesters highlighted concerns over uncontrolled migration, which could pose a threat to the region's demographic and cultural identity.",0,False,2025-03-03/2025-03-09,2025-03
USA78307,2025-03-06,2025,Strategic developments,Strategic developments,Change to group/activity,Dewey Preppers,Unknown,United States,Arizona,Yavapai,Dewey-Humboldt,34.5057,-112.2428,MilitiaWatch,"Recruitment: On 6 March 2025, the Dewey Preppers held a recruitment and public information meeting in Dewey-Humboldt (Arizona).",0,False,2025-03-03/2025-03-09,2025-03
KOR40575,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (South Korea),Unknown,South Korea,North Gyeongsang,Ulleung,Dodong,37.4929,130.8986,Segye Ilbo,"On 6 March 2025, residents of Ulleung County staged a protest at the Korea Electric Power Corporation (KEPCO) Ulleung branch (Dodong-ri, Ulleung-eup, Ulleung-gun) against its shutdown, fearing that the emergency response system would collapse due to the high possibility of reduced power supply.",0,False,2025-03-03/2025-03-09,2025-03
MEX100423,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Baja California Sur,Los Cabos,Cabo San Lucas,22.8908,-109.9123,El Universal (Mexico),"On 6 March 2025, in Cabo San Lucas, Baja California Sur, teachers carried out a motorcade at several schools and around the touristic port to protest against the initiative of the Law of the Institute of Security and Social Services for State Workers (ISSSTE). This is part of a nationwide movement that included simultaneous demonstrations in other locations (coded separately).",0,False,2025-03-03/2025-03-09,2025-03
KOR40577,2025-03-06,2025,Demonstrations,Protests,Peaceful protest,Protesters (South Korea),Unknown,South Korea,Incheon,Jung,Incheon - Jung,37.4737,126.6215,Kiho Ilbo,"On 6 March 2025, around 300 members of the Incheon Jung-gu Park Golf Association held a rally in front of the district office (Incheon - Jung), to oppose the suspension of operations at the Yeongjong Park Golf Course.",0,False,2025-03-03/2025-03-09,2025-03
UKR211094,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),Ukraine,Zaporizhia,Polohivskyi,Huliaipole,47.6639,36.2563,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with an unidentified weapons system (coded as air/drone strike) near Huliaipole, Zaporizhia. The attacks targeted infrastructure but it is not specified if the attacks hit their targets. A civilian was wounded.",0,False,2025-03-03/2025-03-09,2025-03
UKR211095,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Vasylivskyi,Kamianske,47.5424,35.3662,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with an unidentified weapons system (coded as air/drone strike) near Kamianske, Zaporizhia. The attacks targeted infrastructure but it is not specified if the attacks hit their targets. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211096,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Chernihiv,Novhorod-Siverskyi,Karpovychi,52.2177,32.3804,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted a drone strike near Karpovychi, Chernihiv. An educational institution and two private homes were damaged. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211097,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Kharkiv,Kharkivskyi,Kharkiv,49.9808,36.2527,Novoye Vremya Ukraine,"On 6 March 2025, debris from a Russian drone crashed into a multi-story residential building in Kharkiv, Kharkiv. Windows in nearby buildings were also damaged. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211098,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Donetsk,Kramatorskyi,Kostiantynivka,48.5333,37.7166,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted airstrikes near Kostiantynivka, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211099,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Shostkynskyi,Kucherivka,51.7346,34.1884,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted FPV drone strikes and shelled with a 120mm mortar near Kucherivka, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211100,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Mykolaiv,Mykolaivskyi,Kutsurub,46.6528,31.6178,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with an unidentified weapons system (coded as air/drone strike) near Kutsurub, Mykolaiv. The attacks targeted infrastructure but it is not specified if the attacks hit their targets. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211101,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Chernihiv,Novhorod-Siverskyi,Leonivka,52.2583,32.8443,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted a drone strike near Leonivka, Chernihiv. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211102,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Kharkiv,Bohodukhivskyi,Liutivka,50.3128,35.812,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted drone strikes near Liutivka, Kharkiv. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211103,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Vasylivskyi,Lukianivske,47.6114,35.4482,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes, possibly including KAB strikes, near Lukianivske, Zaporizhia. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211104,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Polohivskyi,Mala Tokmachka,47.5325,35.8978,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with an unidentified weapons system (coded as air/drone strike) near Mala Tokmachka, Zaporizhia. The attacks targeted infrastructure but it is not specified if the attacks hit their targets. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211105,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Konotopskyi,Malushyne,51.4896,34.2315,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted a FPV drone strike near Malushyne, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211106,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Dnipropetrovsk,Nikopolskyi,Marhanets,47.6354,34.6277,Suspilne Media,"On 6 March 2025, Russian forces conducted suicide drone strikes and shelled with artillery on Marhanets, Dnipropetrovsk. No casualties.",0,False,2025-03-03/2025-03-09,2025-03
UKR211093,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Chernihiv,Novhorod-Siverskyi,Hremyach,52.3344,33.2886,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted airstrikes and shelled with 120mm mortars near Hremyach, Chernihiv. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211107,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Sumskyi,Mezenivka,50.6349,35.3134,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted KAB strikes near Mezenivka, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211109,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Kherson,Beryslavskyi,Mylove,47.0691,33.6292,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted airstrikes near Mylove, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211110,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopol,47.5712,34.3964,Suspilne Media,"On 6 March 2025, Russian forces conducted suicide drone strikes on Nikopol, Dnipropetrovsk. During attacks on Nikopol and Marhanets, unidentified infrastructure and a school were damaged. No casualties.",0,False,2025-03-03/2025-03-09,2025-03
UKR211111,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Shostkynskyi,Nova Huta,52.2723,33.8472,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted drone strikes near Nova Huta, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211112,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Polohivskyi,Novodanylivka,47.5242,35.8235,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with an unidentified weapons system (coded as air/drone strike) near Novodanylivka, Zaporizhia. The attacks targetted infrastructure but it is not specified if the attacks hit their targets. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211113,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Polohivskyi,Novodarivka,47.7807,36.6353,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with an unidentified weapons system (coded as air/drone strike) near Novodarivka, Zaporizhia. The attacks targeted infrastructure but it is not specified if the attacks hit their targets. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211114,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Unknown,Ukraine,Crimea,Yevpatoriiskyi,Novofedorivka,45.0947,33.5721,24 Channel,"On 6 March 2025, Ukrainian forces conducted drone strikes on the airfield near Novofedorivka, Crimea. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211117,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Zaporizkyi,Novoyakovlivka,47.6238,35.5083,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes, possibly including KAB strikes, near Novoyakovlivka, Zaporizhia. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211118,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Odesa,Odeskyi,Odesa,46.4639,30.7386,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes with unidentified weapons systems on the suburbs of Odesa, Odesa. Energy infrastructure and 3 residential buildings were damaged. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211119,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Okhtyrskyi,Oleksandrivka,50.4527,35.5367,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted FPV drone strikes near Oleksandrivka, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211120,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Zaporizhia,Vasylivskyi,Plavni,47.5626,35.3335,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted strikes, possibly including KAB strikes, near Plavni, Zaporizhia. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211121,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Sumskyi,Pokrovka,50.8019,35.382,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted FPV drone strikes near Pokrovka, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211122,2025-03-06,2025,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Unknown,Ukraine,Sumy,Okhtyrskyi,Popivka,50.4966,35.4525,Ministry of Defence of Ukraine,"On 6 March 2025, Russian forces conducted FPV drone strikes and shelled with 82mm and 120mm mortars near Popivka, Sumy. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
